Date,County,Town,Village,VillageID,VillageLon,VillageLat
2024/12/01,台北市,萬華區,綠堤里,6300700-017,121.4917076,25.03061412
2024/12/02,台北市,中山區,行孝里,6300400-026,121.5366496,25.06669597
2024/12/03,台北市,松山區,三民里,6300100-004,121.5622431,25.0599258
2024/12/03,台北市,松山區,三民里,6300100-004,121.5622431,25.0599258
2024/12/04,台北市,士林區,社園里,6301100-021,121.5069745,25.09234171
2024/12/04,台北市,南港區,鴻福里,6300900-013,121.5852907,25.04331624
2024/12/04,台北市,士林區,忠誠里,6301100-030,121.5273017,25.10603118
2024/12/04,台北市,中山區,江山里,6300400-029,121.54057,25.05896832
2024/12/04,台北市,士林區,名山里,6301100-026,121.5294765,25.10258847
2024/12/04,台北市,萬華區,和德里,6300700-024,121.4909326,25.02654046
2024/12/04,台北市,士林區,永倫里,6301100-022,121.5014557,25.09263064
2024/12/05,台北市,文山區,樟林里,6300800-030,121.557074,24.98504162
2024/12/05,台北市,士林區,東山里,6301100-032,121.5432181,25.12156896
2024/12/05,台北市,中山區,新福里,6300400-020,121.5304739,25.06365325
2024/12/05,台北市,士林區,芝山里,6301100-031,121.5428253,25.11151427
2024/12/05,台北市,士林區,翠山里,6301100-050,121.5650405,25.10618348
2024/12/05,台北市,士林區,臨溪里,6301100-051,121.5526626,25.10098041
2024/12/05,台北市,文山區,興泰里,6300800-021,121.5552148,25.00639496
2024/12/06,台北市,士林區,蘭興里,6301100-035,121.5231146,25.10797242
2024/12/06,台北市,中山區,埤頭里,6300400-037,121.5402611,25.04572283
2024/12/06,台北市,士林區,蘭雅里,6301100-034,121.527319,25.10955957
2024/12/10,台北市,南港區,聯成里,6300900-015,121.5882516,25.04792811
2024/12/11,台北市,萬華區,西門里,6300700-003,121.5050277,25.04275702
2024/12/12,台北市,松山區,復盛里,6300100-025,121.5608244,25.04744209
2024/12/12,台北市,萬華區,青山里,6300700-006,121.4959427,25.03919154
2024/12/13,台北市,萬華區,菜園里,6300700-005,121.4992275,25.04238883
2024/12/15,台北市,文山區,華興里,6300800-024,121.5524183,24.98978166
2024/12/16,台北市,萬華區,忠德里,6300700-022,121.4954548,25.02583885
2024/12/17,台北市,松山區,富泰里,6300100-008,121.5647503,25.05794827
2024/12/17,台北市,松山區,福成里,6300100-034,121.547822,25.04661211
2024/12/17,台北市,萬華區,壽德里,6300700-030,121.5005333,25.02307313
2024/12/18,台北市,文山區,萬和里,6300800-011,121.5344315,25.00237956
2024/12/18,台北市,松山區,美仁里,6300100-028,121.5517075,25.04993809
2024/12/19,台北市,文山區,興邦里,6300800-042,121.5479833,25.00270031
2024/12/20,台北市,南港區,鴻福里,6300900-013,121.5852907,25.04331624
2024/12/23,台北市,南港區,百福里,6300900-014,121.5907187,25.03594101
2024/12/26,台北市,南港區,仁福里,6300900-019,121.5939856,25.03699884
2025/01/02,台北市,信義區,中興里,6300200-004,121.5584557,25.03273525
2025/01/02,台北市,中山區,松江里,6300400-021,121.5350577,25.06013598
2025/01/03,台北市,中山區,復華里,6300400-040,121.5404493,25.05327163
2025/01/03,台北市,大同區,星明里,6300600-007,121.5162133,25.05541448
2025/01/03,台北市,大同區,光能里,6300600-008,121.5193057,25.05517039
2025/01/03,台北市,南港區,南港里,6300900-001,121.6088199,25.05618828
2025/01/06,台北市,中山區,江寧里,6300400-028,121.5406321,25.06127327
2025/01/06,台北市,松山區,新益里,6300100-005,121.5670892,25.06169525
2025/01/07,台北市,大同區,民權里,6300600-013,121.516483,25.06134055
2025/01/07,台北市,中正區,龍福里,6300500-020,121.5158271,25.03273698
2025/01/07,台北市,北投區,福興里,6301200-004,121.509934,25.11097963
2025/01/07,台北市,信義區,惠安里,6300200-029,121.5659502,25.02194279
