縣市,醫事機構名稱,地址,電話,x,y
臺北市,國立台灣大學醫學院附設醫院,臺北市中正區中山南路７號,(02)23123456,25.04057,121.520694
臺北市,臺北市立聯合醫院（和平婦幼院區）,臺北市中正區中華路二段３３號,(02)23889595,25.035337,121.507202
臺北市,西園醫院,臺北市萬華區西園路二段２７６號,(02)23076968,25.027726,121.494435
臺北市,臺北市立聯合醫院（中興院區）,臺北市大同區鄭州路１４５號,(02)25523234,25.051379,121.509269
臺北市,振興醫療財團法人振興醫院,臺北市北投區振興街４５號,(02)28264400,25.116152,121.52237
臺北市,臺北榮民總醫院,臺北市北投區石牌路二段２０１號,(02)28712121,25.122149,121.520159
臺北市,博仁綜合醫院,臺北市松山區光復北路６６號,(02)25786677,25.04997,121.55756
臺北市,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路１３１號,(02)27642151,25.055091,121.558218
臺北市,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段４２４號,(02)27718151,25.047683,121.547483
臺北市,臺北醫學大學附設醫院,臺北市信義區吳興街２５２號,(02)27372181,25.026956,121.563012
臺北市,財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,臺北市中山區中山北路二段９２號,(02)25433535,25.058463,121.52237
臺北市,臺北市立萬芳醫院,臺北市文山區興隆路三段１１１號,(02)29307930,25.00048,121.558497
臺北市,臺北市立聯合醫院（忠孝院區）,臺北市南港區同德路８７號,(02)27861288,25.0466,121.586142
臺北市,臺北市立聯合醫院（仁愛院區）,臺北市大安區仁愛路四段１０號,(02)27093600,25.037298,121.545385
臺北市,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段２６６巷６號,(02)27082121,25.037182,121.552744
臺北市,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路９５號,(02)28332211,25.096102,121.520229
臺北市,臺北市立聯合醫院（陽明院區）,臺北市士林區雨聲街１０５號,(02)28353456,25.105137,121.531891
臺北市,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段３２５號,(02)87923311,25.071737,121.594651
新北市,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,新北市板橋區南雅南路2段21號,(02)89667000,24.997236,121.453295
新北市,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,新北市淡水區民生路45號,(02)28094661,25.139274,121.461508
新北市,衛生福利部雙和醫院（委託臺北醫學大學興建經營）,新北市中和區中正路291號,(02)22490088,24.992487,121.493592
新北市,佛教慈濟醫療財團法人台北慈濟醫院,新北市新店區建國路289號,(02)66289779,24.986054,121.535234
新北市,天主教耕莘醫療財團法人耕莘醫院,新北市新店區中正路362號,(02)22193391,24.976589,121.536021
新北市,輔仁大學學校財團法人輔仁大學附設醫院,新北市泰山區貴子路69號,(02)85128888,25.040166,121.431344
新北市,新北市立土城醫院（委託長庚醫療財團法人興建經營）,新北市土城區金城路2段6號,(02)22630588,24.976037,121.448975
新北市,衛生福利部臺北醫院,新北市新莊區思源路127號,(02)22765566,25.042768,121.459147
新北市,行天宮醫療志業醫療財團法人恩主公醫院,新北市三峽區復興路399號,(02)26723456,24.938366,121.363069
新北市,國泰醫療財團法人汐止國泰綜合醫院,新北市汐止區建成路59巷2號,(02)26482121,25.072985,121.660928
新北市,新北市立聯合醫院（三重院區）,新北市三重區新北大道一段3號,(02)29829111,25.06093,121.490203
新北市,天主教耕莘醫療財團法人永和耕莘醫院,新北市永和區中興街80號,(02)29286060,25.011828,121.517918
新北市,天主教耕莘醫療財團法人耕莘醫院安康院區,新北市新店區車子路15號,(02)22123066,24.953841,121.50399
新北市,國立臺灣大學醫學院附設醫院金山分院,新北市金山區五湖里玉爐路7號,(02)24989898,25.219553,121.628399
新北市,衛生福利部樂生醫院,新北市新莊區中正路794號,(02)82006600,25.022496,121.408947
新北市,瑞芳礦工醫院,新北市瑞芳區一坑路71之2號,(02)24974101,25.108601,121.802163
新北市,仁愛醫院,新北市樹林區文化街9號,(02)26834567,24.987196,121.419993
新北市,新泰綜合醫院,新北市新莊區新樹路176號,(02)29962121,25.021559,121.434137
新北市,宏仁醫院,新北市三重區水漾路一段158號,(02)29788877,25.053998,121.483784
