項次,業者名稱(市招),縣市,行政區,業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註
33,阿媽蜜餞休閒食品店,臺北市,士林區,臺北市士林區士東路13之9號1樓,草莓凍全素,115/1/21,標示,合格,,,
34,阿媽蜜餞休閒食品店,臺北市,士林區,臺北市士林區士東路13之9號1樓,草莓凍全素,115/1/21,防腐劑、著色劑、甜味劑,合格,,,
35,無市招雜貨店,臺北市,大安區,臺北市大安區臨江街35號,77哈哈球,115/1/21,標示,合格,,,
36,無市招雜貨店,臺北市,大安區,臺北市大安區臨江街35號,77哈哈球,115/1/21,防腐劑、著色劑、甜味劑,合格,,,
37,無市招雜貨店,臺北市,大安區,臺北市大安區臨江街35號,巧益-宜蘭三星蔥夾心蘇打餅,115/1/21,標示,合格,,,
38,無市招雜貨店,臺北市,大安區,臺北市大安區臨江街35號,巧益-宜蘭三星蔥夾心蘇打餅,115/1/21,防腐劑、著色劑、甜味劑,合格,,,
40,無市招攤商,臺北市,中山區,臺北市中山區民族東路410巷43號前,黃金桔,115/1/21,防腐劑、著色劑、甜味劑,合格,,,
41,祥豐餅舖行(新瑞麥鳳梨酥),臺北市,大同區,臺北市大同區寧夏路34之5號,原味鳳梨酥(奶蛋),115/1/21,標示,合格,,,
42,祥豐餅舖行(新瑞麥鳳梨酥),臺北市,大同區,臺北市大同區寧夏路34之5號,原味鳳梨酥(奶蛋),115/1/21,防腐劑、著色劑、甜味劑,合格,,,
43,33番日本糖果餅乾專賣店,臺北市,士林區,臺北市士林區士東路100號(士東市場33號攤),春日井軟糖-白葡萄,115/1/22,標示,合格,,,
44,33番日本糖果餅乾專賣店,臺北市,士林區,臺北市士林區士東路100號(士東市場33號攤),春日井軟糖-白葡萄,115/1/22,著色劑,合格,,,
45,順泰玩具食品行(阿興伯柑仔店),臺北市,文山區,臺北市文山區羅斯福路六段58號1樓,龐克樂跳腳棒糖(葡萄口味),115/1/22,標示,合格,,,
