機構名稱,地址,電話,x,y
南昌大藥局,臺北市中正區南昌路一段８６號一樓,(02)23510322,121.5173744,25.0308592
仁杏藥局,臺北市中正區汀州路一段３８４號,(02)23013621,121.5135504,25.02623632
永興藥局,臺北市中正區汀州路一段９２巷２８號,(02)23050986,121.5067622,25.02999357
華大藥局,臺北市中正區金門街８號,(02)23682425,121.5243315,25.02275147
怡誠藥局,臺北市中正區汀州路二段二一二號,(02)23625100,121.5237191,25.02236086
建祥武昌藥局,臺北市中正區武昌街1段29號1樓,(02)23314038,121.512123,25.04415718
日生大藥局,臺北市中正區汀州路一段５３號１樓,(02)23031393,121.5076476,25.03025745
三元藥局,臺北市中正區三元街１５８號,(02)23052839,121.5108721,25.02800107
大安藥局,臺北市中正區新生南路1段56巷2號(1樓),(02)23213186,121.5325212,25.0411213
上海聯合藥局,臺北市中正區衡陽路３２號１樓,(02)23714797,121.5126292,25.04220631
中心藥局,臺北市中正區汀州路三段１２１號,(02)23689889,121.5302985,25.01654511
楊藥局,臺北市中正區臨沂街２９巷１８號,(02)23414449,121.530796,25.03984849
和康大藥局,臺北市中正區忠孝東路一段７８號１樓,(02)23958181,121.5239625,25.04446127
古亭藥局,臺北市中正區汀州路三段１１７號,,121.5301226,25.01666815
新獻安藥局,臺北市中正區羅斯福路一段１５號,(02)23519891,121.5182188,25.03316149
國杏藥師示範藥局,臺北市中正區延平南路１７１巷３號,(02)23811322,121.5078466,25.0348694
東華藥局,臺北市中正區汀州路三段一一三號,(02)23640852,121.5300303,25.01673271
連雲藥局,臺北市中正區連雲街79號,(02)23410504,121.5301606,25.03436039
合泰大藥局,臺北市中正區衡陽路26號,(02)23899977,121.512863,25.04220736
吉星藥局,臺北市中正區襄陽路１９號１樓,(02)23117779,121.5153922,25.04349251
丞良藥局,臺北市中正區南昌路一段７８號地下一樓,(02)33938868,121.517267,25.030983
慶安藥局,臺北市中正區徐州路26號,(02)23582385,121.5234096,25.04061204
達昌藥局,臺北市中正區汀州路一段207號,(02)23390109,121.5116217,25.0269163
大愛生活藥局,臺北市中正區汀州路二段232號,(02)23661155,121.5242627,25.02189463
台醫藥局,臺北市中正區公園路30巷4號,(02)23141202,121.5165555,25.04416104
佑康大藥局,臺北市中正區汀州路2段115號1樓,(02)23683602,121.5189322,25.02520581
